O*NET-SOC Code,Title,Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Degree of Automation,Spend Time Making Repetitive Motions,Importance of Being Exact or Accurate,Time Pressure,Level of Competition
51-9194.00,Etchers and Engravers,3.35,2.69,2.28,3.01,4.43,4.25,2.6
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",3.49,3.77,2.73,4.28,4.11,4.11,3.1
51-9195.03,"Stone Cutters and Carvers, Manufacturing",3.32,3.43,2.33,4.34,4.38,4.23,3.2
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",3.01,3.51,2.42,3.8,4.36,3.37,2.49
51-9195.05,"Potters, Manufacturing",3.86,1.09,1.81,3.98,3.83,3.0,2.36
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",3.43,4.11,2.36,3.62,4.12,4.27,3.53
51-9197.00,Tire Builders,3.75,3.67,2.09,4.66,3.53,4.15,2.24
51-9198.00,Helpers--Production Workers,3.21,3.87,2.62,4.06,3.88,4.09,2.76
53-1041.00,Aircraft Cargo Handling Supervisors,3.88,2.75,2.56,3.14,4.57,4.69,2.85
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",3.54,2.72,2.71,2.82,4.59,4.52,3.72
53-1042.01,Recycling Coordinators,3.25,2.09,2.23,2.27,3.82,3.69,2.38
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,3.62,3.45,2.4,2.35,4.64,3.97,4.22
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",3.97,3.4,3.58,3.01,4.84,4.54,4.05
53-2012.00,Commercial Pilots,3.67,1.98,2.06,2.68,4.63,3.77,3.06
53-2021.00,Air Traffic Controllers,4.67,2.28,3.58,3.52,4.83,3.41,3.08
53-2022.00,Airfield Operations Specialists,4.45,2.13,2.61,2.87,4.67,4.1,2.84
53-2031.00,Flight Attendants,3.8,2.43,2.3,3.34,4.14,4.46,2.67
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3.86,1.59,2.24,2.98,4.4,3.78,3.05
53-3031.00,Driver/Sales Workers,4.41,2.25,2.13,4.24,4.18,4.92,3.01
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,3.54,2.93,1.79,3.65,3.99,4.24,3.27
53-3033.00,Light Truck Drivers,3.43,2.4,2.67,2.76,4.34,4.19,3.04
53-3051.00,"Bus Drivers, School",2.51,2.62,1.67,3.85,4.11,3.77,1.61
53-3052.00,"Bus Drivers, Transit and Intercity",3.06,2.73,2.27,3.89,3.82,3.84,2.16
53-3053.00,Shuttle Drivers and Chauffeurs,3.26,2.42,1.48,3.33,4.12,4.13,2.31
53-4011.00,Locomotive Engineers,3.61,2.81,1.75,3.92,4.48,4.38,2.58
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",3.27,2.02,1.88,3.85,3.54,3.48,1.8
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",3.66,2.73,1.8,3.92,4.05,4.15,2.02
53-4031.00,Railroad Conductors and Yardmasters,3.68,2.87,2.21,3.0,4.06,3.41,2.43
53-4041.00,Subway and Streetcar Operators,4.0,3.73,2.06,4.39,4.42,3.82,2.47
53-5011.00,Sailors and Marine Oilers,3.42,3.03,1.52,3.64,4.32,4.0,2.82
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",3.57,2.82,1.8,3.09,4.09,3.98,3.39
53-5022.00,Motorboat Operators,3.61,2.45,2.19,2.63,4.39,4.13,2.53
53-5031.00,Ship Engineers,3.86,2.55,2.28,2.87,3.62,3.81,2.72
53-6011.00,Bridge and Lock Tenders,3.53,2.26,2.89,2.6,3.95,3.1,2.26
53-6021.00,Parking Attendants,3.17,2.23,2.59,3.79,3.95,2.99,2.34
53-6031.00,Automotive and Watercraft Service Attendants,2.68,2.15,1.68,3.79,4.48,4.6,3.27
53-6041.00,Traffic Technicians,3.82,2.08,2.57,3.13,4.39,4.23,2.61
53-6051.00,Transportation Inspectors,3.43,1.71,2.17,2.1,4.63,3.78,2.85
53-6051.01,Aviation Inspectors,4.35,1.54,2.57,3.17,4.49,4.11,3.63
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",3.27,2.93,1.77,3.08,4.33,4.24,3.52
53-6061.00,Passenger Attendants,2.42,1.37,2.06,2.72,3.42,2.92,2.21
53-7011.00,Conveyor Operators and Tenders,3.0,4.58,2.62,2.97,4.42,4.05,3.43
53-7021.00,Crane and Tower Operators,2.96,3.77,2.13,3.61,4.54,3.8,2.16
53-7031.00,Dredge Operators,2.41,2.35,3.0,3.8,3.09,3.01,2.51
53-7041.00,Hoist and Winch Operators,3.37,4.32,2.58,4.56,4.79,4.75,2.92
53-7051.00,Industrial Truck and Tractor Operators,2.97,3.64,1.98,4.2,4.65,4.49,3.59
53-7061.00,Cleaners of Vehicles and Equipment,3.12,1.95,1.65,4.43,3.82,4.2,2.61
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",4.06,3.29,2.05,3.91,4.31,3.74,2.99
53-7062.04,Recycling and Reclamation Workers,2.63,3.12,2.07,4.02,3.12,3.5,2.77
53-7063.00,Machine Feeders and Offbearers,3.18,4.11,2.89,3.68,3.99,3.71,2.72
53-7064.00,"Packers and Packagers, Hand",3.87,3.04,2.12,3.88,4.32,4.22,2.97
53-7065.00,Stockers and Order Fillers,3.68,1.47,1.98,3.46,3.96,3.44,2.33
53-7071.00,Gas Compressor and Gas Pumping Station Operators,3.74,3.61,2.77,2.49,4.17,3.76,3.11
53-7072.00,"Pump Operators, Except Wellhead Pumpers",4.0,2.64,2.11,3.7,3.84,3.31,2.78
53-7073.00,Wellhead Pumpers,3.55,2.35,2.0,2.71,3.74,3.52,3.2
53-7081.00,Refuse and Recyclable Material Collectors,3.41,2.78,2.33,4.32,2.96,3.74,2.65
53-7121.00,"Tank Car, Truck, and Ship Loaders",4.45,3.56,1.87,3.8,4.46,4.47,2.97
